country ,Date,confirmed ,recoverd,dealth
China,16-11-2002,5327,4978,349
"China, Hong Kong Special Administrative Region",15-02-2003,1755,1456,299
Canada,23-02-2003,251,208,43
Viet Nam,23-02-2003,63,58,5
United States,24-02-2003,27,27,0
"China, Taiwan",25-02-2003,346,309,37
Philippines,25-02-2003,14,12,2
Singapore,25-02-2003,238,205,33
Australia,26-02-2003,6,6,0
Republic of Ireland,27-02-2003,1,1,0
United Kingdom,01-03-2003,4,4,0
Germany,09-03-2003,9,9,0
Switzerland,09-03-2003,1,1,0
Thailand,11-03-2003,9,7,2
Italy,12-03-2003,4,4,0
Malaysia,14-03-2003,5,3,2
Romania,19-03-2003,1,1,0
France,21-03-2003,7,6,1
Spain,26-03-2003,1,1,0
Sweden,28-03-2003,5,5,0
Mongolia,31-03-2003,9,9,0
South Africa,03-04-2003,1,0,1
Indonesia,06-04-2003,2,2,0
Kuwait,09-04-2003,1,1,0
New Zealand,20-04-2003,1,1,0
India,25-04-2003,3,3,0
Republic of Korea,25-04-2003,3,3,0
"China, Macao Special Administrative Region",05-05-2003,1,1,0
Russian Federation,05-05-2003,1,1,0
,,,,
